Market Rank,Success Rank,Country,Region,Tier,HS950440 Import USD,Importer Category,Primary Buyer Roles,Language,Product Focus,Export Success Index %,Success Band,Data Confidence,Wave,Email Campaign,Email Subject,CTA,Opportunity Score /100,Metric Note,Search Keywords,Buyer Search Query EN,Buyer Search Query Local,Recommended Channels,Research Priority
42,39,Mauritania,Africa,D,64470.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,Arabic + French + English,Core,41,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,41,Internal export opportunity score; not a probability of sale,موريتانيا Mauritania | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | Arabic + French + English | Discovery | Test / Research,""Mauritania" playing cards games importer distributor wholesale retail category buyer",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية موريتانيا,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
38,40,Gambia,Africa,C,,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Tourism / Core,39,Test / Research,Low,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,39,Internal export opportunity score; not a probability of sale,غامبيا Gambia | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Core | Tourism / Souvenir | English | Discovery | Test / Research,""Gambia" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Gambia,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Research-first
43,41,Gabon,Africa,D,4713.0,Premium Games / Gift Distributor,Owner / Category Buyer / Import Manager,French + English,Premium Core,38,Test / Research,Medium,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,38,Internal export opportunity score; not a probability of sale,الغابون الجابون Gabon | Premium Games / Gift Distributor | premium games gifts distributor specialty retail collector | Owner / Category Buyer / Import Manager | Premium Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Gabon" premium games gifts distributor specialty retail collector",importateur cartes à jouer distributeur jeux cadeaux promotionnels Gabon,LinkedIn + specialty retail directories + gift/game distributors,Selective
40,42,Burundi,Africa,C,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,36,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,36,Internal export opportunity score; not a probability of sale,بوروندي Burundi | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Burundi" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Burundi,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
47,42,Burkina Faso,Africa,D,15400.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,36,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,36,Internal export opportunity score; not a probability of sale,بوركينا فاسو Burkina Faso | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Burkina Faso" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels Burkina Faso,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
48,42,Togo,Africa,D,1920.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,36,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,36,Internal export opportunity score; not a probability of sale,توغو Togo | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Togo" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Togo,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
41,45,Republic of Congo,Africa,D,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,34,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,34,Internal export opportunity score; not a probability of sale,جمهورية الكونغو الكونغو برازافيل Republic of Congo Congo Brazzaville | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Republic of Congo" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels Republic of Congo,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
44,46,Guinea,Africa,D,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,32,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,32,Internal export opportunity score; not a probability of sale,غينيا Guinea | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Guinea" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels Guinea,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
45,46,Liberia,Africa,D,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,32,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,32,Internal export opportunity score; not a probability of sale,ليبيريا Liberia | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Liberia" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Liberia,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
46,46,Sierra Leone,Africa,D,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,32,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,32,Internal export opportunity score; not a probability of sale,سيراليون Sierra Leone | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Sierra Leone" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Sierra Leone,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
49,49,Mali,Africa,D,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,29,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,29,Internal export opportunity score; not a probability of sale,مالي Mali | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Mali" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels Mali,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
50,49,Niger,Africa,D,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,29,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,29,Internal export opportunity score; not a probability of sale,النيجر Niger | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Niger" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels Niger,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
